tank,date,dispersal,wattage,metacommunity,temp_mean,temp_max,temp_sd,temp_min,dispersal_date
46,2018-06-18,low,200,12,25.887430555555557,30.76,3.2195914144907616,21.83,NA
47,2018-06-18,low,0,12,24.638472222222223,29.43,3.1390193380763685,20.33,NA
48,2018-06-18,low,300,12,27.06548611111111,32.04,3.282988539129782,22.95,NA
1,2018-06-19,high,100,1,27.283194444444444,31.49,2.691799422274834,23.29,NA
2,2018-06-19,high,200,1,27.489583333333332,31.66,2.6685201564115686,23.55,NA
3,2018-06-19,high,0,1,26.113263888888888,29.94,2.4773149320449797,22.48,NA
4,2018-06-19,high,300,1,28.42076388888889,32.39,2.5404534257091504,24.62,NA
5,2018-06-19,none,200,2,27.984930555555554,32.04,2.607645830698742,24.11,NA
6,2018-06-19,none,300,2,28.433888888888887,32.17,2.4386775939324994,24.66,NA
7,2018-06-19,none,100,2,27.055208333333333,30.93,2.4952432981841404,23.25,NA
8,2018-06-19,none,0,2,25.922847222222224,29.34,2.339455636637811,22.31,NA
9,2018-06-19,low,0,3,25.690625,29.81,2.50802912585836,21.96,NA
10,2018-06-19,low,100,3,26.621319444444445,30.28,2.3787360005218545,23.08,NA
11,2018-06-19,low,300,3,28.95173611111111,32.99,2.5368664471026308,25.22,NA
12,2018-06-19,low,200,3,27.81625,31.79,2.551002511011859,23.98,NA
13,2018-06-19,none,300,4,28.18076388888889,32.26,2.6072977410137232,24.32,NA
14,2018-06-19,none,0,4,25.19625,28.83,2.4833622242965148,21.49,NA
15,2018-06-19,none,200,4,27.430138888888887,31.36,2.531547244099239,23.72,NA
16,2018-06-19,none,100,4,26.46736111111111,30.11,2.414437920114218,22.73,NA
17,2018-06-19,low,0,5,25.705694444444443,29.64,2.4994790094278283,22.09,NA
18,2018-06-19,low,100,5,25.974930555555556,29.43,2.384886854722685,22.52,NA
19,2018-06-19,low,300,5,28.081041666666668,31.96,2.477357242575777,24.45,NA
20,2018-06-19,low,200,5,26.990833333333335,30.93,2.5219136090969205,23.38,NA
21,2018-06-19,high,100,6,26.881319444444443,30.76,2.556030096709271,23.08,NA
22,2018-06-19,high,200,6,27.430625,31.31,2.433633853421152,23.94,NA
23,2018-06-19,high,0,6,25.482222222222223,29.3,2.423340595661214,21.92,NA
24,2018-06-19,high,300,6,28.53472222222222,32.22,2.422078499546259,24.88,NA
25,2018-06-19,low,200,7,27.63652777777778,31.61,2.462222067505795,24.02,NA
26,2018-06-19,low,300,7,28.476180555555555,32.52,2.5106631326749342,24.66,NA
27,2018-06-19,low,100,7,27.290902777777777,31.19,2.552008098172709,23.38,NA
28,2018-06-19,low,0,7,25.899305555555557,29.73,2.4932242872518207,22.01,NA
29,2018-06-19,high,100,8,26.469375,30.46,2.5731750186439757,22.69,NA
30,2018-06-19,high,200,8,26.955833333333334,30.71,2.418425049547684,23.46,NA
31,2018-06-19,high,0,8,24.89951388888889,28.65,2.3927411584945832,21.53,NA
32,2018-06-19,high,300,8,27.872777777777777,31.4,2.344426941608052,24.54,NA
33,2018-06-19,none,0,9,24.777083333333334,28.57,2.4048423977554045,21.4,NA
34,2018-06-19,none,100,9,26.047569444444445,29.47,2.298946626076677,22.78,NA
35,2018-06-19,none,300,9,28.186458333333334,31.92,2.346641244655621,24.79,NA
36,2018-06-19,none,200,9,27.170347222222222,30.63,2.278839237463235,23.85,NA
37,2018-06-19,high,200,10,27.387847222222224,31.14,2.3671360534149377,23.81,NA
